Confirmation date,Confirmed by,Tel,Discovery report date,Group
Nov 14 2020 14:33:34,Szymon Liwo,C2,20201114 14:16:33,Kreutz group comet
Nov 14 2020 14:30:56,Michal Biesiada,C2,20-11-14 14:16:20,Kreutz group comet
Nov 13 2020 16:31:11,Worachate Boonplod,C3,2020-11-13 14:45:08,Kreutz group comet
Nov 13 2020 03:52:42,Worachate Boonplod,C2,2020-11-13 03:26:56,Kreutz group comet
Nov 11 2020 04:28:57,Michal Biesiada,C2, 20-11-11 02:42:32,Kreutz group comet
Nov 10 2020 11:47:57,Peiyuan Sun,C3, 20201109 20:11:48,Kreutz group comet
Nov 09 2020 11:54:38,Peiyuan Sun,C3, 20201109 05:02:40,Kreutz group comet
Nov 09 2020 02:29:11,Michal Biesiada,C2 C3,20-11-8 17:49:46,Kreutz group comet
Nov 08 2020 03:37:07,Michal Biesiada,C2,20-11-7 19:37:14,Kreutz group comet
Nov 07 2020 19:37:06,Worachate Boonplod,C2, 2020-11-07 18:26:41,Kreutz group comet
Nov 07 2020 07:05:51,Worachate Boonplod,C2, 2020-11-07 05:17:45,Kreutz group comet
Nov 05 2020 09:58:28,Worachate Boonplod,C2, 2020-11-05 09:42:38,Kreutz group comet
Nov 04 2020 12:38:22,Michal Biesiada,C2,20-11-4 12:15:28,Kreutz group comet
Nov 03 2020 12:33:44,Worachate Boonplod,C2, 2020-11-03 12:14:18,Kreutz group comet
Nov 01 2020 01:23:47,Peiyuan Sun,C3,20201101 01:45:41,Marsden group comet
