Confirmation date,Confirmed by,Tel,Discovery report date,Group
Feb 23 2021 06:27:14,Worachate Boonplod,C2, 2021-02-23 05:28:12,Marsden group comet
Feb 14 2021 07:15:13,Worachate Boonplod,C3,2021-02-14 05:34:01,Kreutz group comet
Feb 13 2021 22:21:13,Masanori Uchina,C3, 2021/2/13 21:43:35,Non-group comet
Feb 12 2021 06:25:15,Masanori Uchina,C3, 2021/2/12 05:21:14,Kreutz group comet
Feb 11 2021 13:56:07,Worachate Boonplod,C3,2021-02-11 13:02:24,Kreutz group comet
Feb 11 2021 13:30:37,Trygve Prestgard,C3, 2020-02-11 11:30:35,Kreutz group comet
Feb 11 2021 13:29:47,Trygve Prestgard,C3, 2021-02-11 10:54:03,Kreutz group comet
Feb 08 2021 05:19:10,Szymon Liwo,C3, 2021-02-08 04:55:28,Marsden group comet
Feb 02 2021 03:32:42,Worachate Boonplod,C3, 2021-02-02 02:37:34,Non-group comet
Feb 02 2021 03:32:42,Worachate Boonplod,C3, 2021-02-02 02:37:34,Non-group comet
